"Erst- und Folgeanträge",,,,,,,,,,,
,"Berufungen","Gerichtsentscheidungen",,,,,,,,,"Anhängige Rechtsmittel"
,,"gesamt","Asyl Art.16a GG u. Fam.Asyl","(GFK) Flüchtlingsschutz","Subsidiärer Schutz","Abschiebungsverbot","Ablehnungen",,"sonst. Verfahrenserledigungen (z. B. Rücknahmen)",,
,,,,,,,"absolut","Anteil","absolut","Anteil",
"Herkunftsländer gesamt",2034,1436,0,28,1,7,813,"56,6%",587,"40,9%",1380
"Syrien",1569,1152,0,17,0,0,764,"66,3%",371,"32,2%",1008
"Afghanistan",168,81,0,2,0,5,2,"2,5%",72,"88,9%",136
"Irak",28,15,0,0,0,0,0,"0,0%",15,"100,0%",23
"Russische Föd.",24,19,0,0,0,0,0,"0,0%",19,"100,0%",12
"Pakistan",22,16,0,0,0,0,2,"12,5%",14,"87,5%",17
"Albanien",7,3,0,0,0,0,3,"100,0%",0,"0,0%",1
"Kosovo",3,7,0,0,0,0,0,"0,0%",7,"100,0%",9
"Serbien",2,7,0,0,0,0,5,"71,4%",2,"28,6%",3
"Mazedonien",2,1,0,0,0,0,0,"0,0%",1,"100,0%",0
"Eritrea",5,2,0,0,0,0,0,"0,0%",2,"100,0%",4
"Iran",3,9,0,1,0,0,1,"11,1%",7,"77,8%",8
"Nigeria",4,2,0,0,0,0,0,"0,0%",2,"100,0%",6
"Ungeklärt",42,21,0,0,0,0,9,"42,9%",12,"57,1%",44
"Ukraine",4,4,0,0,0,0,1,"25,0%",3,"75,0%",0
"Somalia",29,14,0,0,1,0,0,"0,0%",13,"92,9%",33
"Georgien",7,7,0,0,0,0,4,"57,1%",3,"42,9%",1
"Armenien",3,0,0,0,0,0,0,,0,,7
"Bosn.- Herzeg.",1,0,0,0,0,0,0,,0,,0
"Algerien",3,4,0,0,0,0,0,"0,0%",4,"100,0%",0
"Guinea",4,1,0,0,0,0,0,"0,0%",1,"100,0%",1
"Marokko",1,1,0,0,0,0,0,"0,0%",1,"100,0%",2
"Ghana",0,1,0,0,0,1,0,"0,0%",0,"0,0%",0
"Senegal",0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
"Montenegro",0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
"Tunesien",0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
