Herkunftsland, Klagen, Gerichtsentscheidungen gesamt, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiärer Schutz, Abschiebungsverbot, Ablehnungen absolut, sonst. Verfahrenserledigungen (z.B. Rücknahmen) absolut, anhängige Rechtsmittel
Gesamt,78978,86953,94,8152,1277,5676,32637,39117,342722
Afghanistan,8499,13873,0,742,723,4056,3951,4401,72342
Syrien,8244,19170,15,5093,37,488,8817,4720,45402
Irak,7678,8092,2,306,207,254,3818,3505,37640
Nigeria,6230,3349,3,23,2,107,1349,1865,17890
Iran,4164,2782,29,555,9,36,800,1353,15814
Russische Föderation,4157,3497,0,75,22,92,872,2436,17674
Somalia,2827,1720,0,60,100,92,213,1255,8060
Georgien,2724,1595,0,3,5,12,645,930,4662
Pakistan,2703,4122,0,283,12,36,2161,1630,15119
Gambia,2685,1509,0,2,1,6,473,1027,7475
Türkei,2678,1209,4,36,5,8,297,859,8704
Armenien,1997,1657,0,3,21,48,700,885,7909
Ungeklärt,1823,1642,0,207,14,54,432,935,6809
Aserbaidschan,1818,1379,0,10,5,14,446,904,5880
Eritrea,1761,1458,0,124,26,27,328,953,4843
Algerien,560,508,0,2,0,6,192,308,1284
Marokko,506,559,0,10,0,5,244,300,1131
Tunesien,210,214,0,6,0,0,67,141,416
Albanien,701,1215,0,0,0,13,423,944,3275
Serbien,701,1215,0,0,0,13,314,888,2433
Mazedonien,688,1033,0,0,0,15,338,680,1935
Ghana,508,547,0,1,0,6,215,325,1786
Kosovo,470,973,0,2,0,51,272,648,2263
Bosnien und Herzegowina,227,305,0,0,0,12,107,186,682
Senegal,195,207,1,0,2,5,103,96,555
Montenegro,80,151,0,0,0,2,48,101,285
