Herkunftsland, Gerichtsentscheidungen gesamt, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiärer Schutz, Abschiebungsverbot, Ablehnungen absolut, sonst. Verfahrenserledigungen (z.B. Rücknahmen) absolut,positiv
Gesamt,86953,94,8152,1277,5676,32637,39117,15199
Afghanistan,13873,0,742,723,4056,3951,4401,5521
Syrien,19170,15,5093,37,488,8817,4720,5633
Irak,8092,2,306,207,254,3818,3505,769
Nigeria,3349,3,23,2,107,1349,1865,135
Iran,2782,29,555,9,36,800,1353,629
Russische Föderation,3497,0,75,22,92,872,2436,189
Somalia,1720,0,60,100,92,213,1255,252
Georgien,1595,0,3,5,12,645,930,20
Pakistan,4122,0,283,12,36,2161,1630,331
Gambia,1509,0,2,1,6,473,1027,9
Türkei,1209,4,36,5,8,297,859,53
Armenien,1657,0,3,21,48,700,885,72
Ungeklärt,1642,0,207,14,54,432,935,275
Aserbaidschan,1379,0,10,5,14,446,904,29
Eritrea,1458,0,124,26,27,328,953,177
Algerien,508,0,2,0,6,192,308,8
Marokko,559,0,10,0,5,244,300,15
Tunesien,214,0,6,0,0,67,141,6
Albanien,1215,0,0,0,13,423,944,13
Serbien,1215,0,0,0,13,314,888,13
Mazedonien,1033,0,0,0,15,338,680,15
Ghana,547,0,1,0,6,215,325,7
Kosovo,973,0,2,0,51,272,648,53
Bosnien und Herzegowina,305,0,0,0,12,107,186,12
Senegal,207,1,0,2,5,103,96,8
Montenegro,151,0,0,0,2,48,101,2
