Herkunftsland, Ablehnungen absolut,positiv
Gesamt,32637,15199
Afghanistan,3951,5521
Syrien,8817,5633
Irak,3818,769
Nigeria,1349,135
Iran,800,629
Russische Föderation,872,189
Somalia,213,252
Georgien,645,20
Pakistan,2161,331
Gambia,473,9
Türkei,297,53
Armenien,700,72
Ungeklärt,432,275
Aserbaidschan,446,29
Eritrea,328,177
Algerien,192,8
Marokko,244,15
Tunesien,67,6
Albanien,423,13
Serbien,314,13
Mazedonien,338,15
Ghana,215,7
Kosovo,272,53
Bosnien und Herzegowina,107,12
Senegal,103,8
Montenegro,48,2
