Herkunftsland, Klagen, Gerichtsentscheidungen gesamt, Asyl Art. 16a GG u. Fam.Asyl, (GFK) Fluechtlingsschutz, Subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen absolut, Ablehnungen Anteil, sonst. Verfahrenserledigungen absolut, sonst. Verfahrenserledigungen Anteil, Anhaengige Rechtsmittel,pos + neg
Herkunftslaender gesamt,328382,146168,81,23681,2113,6611,47140,323,66542,455,361059,79626
Syrien,40250,40172,23,18571,141,335,11688,291,9414,234,58677,30758
Afghanistan,71342,19426,8,1010,1219,5001,4589,236,7599,391,79407,11827
Irak,32931,10053,0,499,196,235,4701,468,4422,440,38913,5631
Pakistan,16289,6386,0,589,17,46,2828,443,2906,455,16836,3480
Albanien,3919,5882,0,1,28,81,2289,389,3483,592,4265,2399
Kosovo,2649,4545,0,3,7,115,1902,418,2518,554,2912,2027
Serbien,3294,4330,0,6,0,45,1654,382,2625,606,3165,1705
Russische Foed.,14391,7062,2,68,58,74,1457,206,5403,765,17422,1659
Iran,14386,3122,16,738,17,22,841,269,1488,477,14867,1634
Mazedonien,2907,3607,0,4,1,34,1348,374,2220,615,2451,1387
Nigeria,16598,2881,5,22,0,77,1152,400,1625,564,15568,1256
Ukraine,4006,2207,0,4,6,9,1192,540,996,451,3453,1211
Ungeklaert,5389,2425,1,623,19,16,488,201,1278,527,6969,1147
