Herkunftsland, Asyl Art. 16a GG u. Fam.Asyl, (GFK) Fluechtlingsschutz, Subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen , sonst. Verfahrenserledigungen 
Herkunftslaender gesamt,81,23681,2113,6611,47140,66542
Syrien,23,18571,141,335,11688,9414
Afghanistan,8,1010,1219,5001,4589,7599
Irak,0,499,196,235,4701,4422
Russische Foed.,2,68,58,74,1457,5403
Pakistan,0,589,17,46,2828,2906
Albanien,0,1,28,81,2289,3483
Kosovo,0,3,7,115,1902,2518
Serbien,0,6,0,45,1654,2625
Mazedonien,0,4,1,34,1348,2220
Eritrea,0,250,25,19,514,2353
Iran,16,738,17,22,841,1488
Nigeria,5,22,0,77,1152,1625
Ungeklaert,1,623,19,16,488,1278
Ukraine,0,4,6,9,1192,996
Somalia,0,73,283,109,282,1444
Georgien,0,5,7,26,880,1162
Armenien,0,5,4,51,704,1237
Bosn.-Herzeg.,0,0,0,17,341,724
Algerien,0,7,0,13,524,511
Guinea,0,2,0,4,275,716
Marokko,0,5,1,5,366,576
Ghana,0,3,0,3,444,452
Senegal,0,7,1,13,302,288
Montenegro,0,0,0,12,165,358
