01.01. – 31.12 2018,Berufungen,Gerichtsentscheidungen,,,,,,,,,
"",,,,,,,,,,,
"",,,,,,,absolut,Anteil,absolut,Anteil,
"Staatsangehörigkeiten gesamt",1.712,1.495,-,76,1,52,910,"60,9",456,"30,5%",1.569
darunter:,,,,,,,,,,,
Syrien,1.266,1.123,0,68,0,35,857,"76,3%",163,"14,5%",1.139
Afghanistan,193,180,0,0,0,11,7,"3,9%",162,"90,0%",146
Somalia,23,22,0,0,1,3,1,"4,5%",17,"77,3%",34
Russische Föderation,20,3,0,0,0,0,1,"33,3%",2,"66,7%",33
Eritrea,20,6,0,0,0,0,4,"66,7%",2,"33,3%",20
Libyen,20,18,0,0,0,0,2,"11,1%",16,"88,9%",4
"Elfenbeinküste (Côte d’Ivoire)",18,23,0,0,0,0,5,"21,7%",18,"78,3%",0
Guinea,18,17,0,0,0,0,6,"35,3%",11,"64,7%",2
Irak,16,5,0,0,0,2,0,"0,0%",3,"60,0%",31
Ungeklärt,16,22,0,3,0,0,6,"27,3%",13,"59,1%",27
Kosovo,10,7,0,0,0,0,0,"0,0%",7,"100,0%",12
Pakistan,10,9,0,0,0,0,1,"11,1%",8,"88,9%",17
Albanien,8,8,0,0,0,0,7,"87,5%",1,"12,5%",1
sonst. asiat. Staatsangeh.,8,8,0,3,0,0,0,"0,0%",5,"62,5%",12
"Äthiopien",7,0,0,0,0,0,0,"0,0%",0,"0,0%",11
Marokko,2,2,0,0,0,0,1,"50,0%",1,"50,0%",1
Tunesien,0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
Algerien,1,0,0,0,0,0,0,"0,0%",0,"0,0%",1
Georgien,4,1,0,0,0,1,0,"0,0%",0,"0,0%",4
Armenien,4,5,0,0,0,0,0,"0,0%",5,"100,0%",6
Türkei,1,1,0,0,0,0,0,"0,0%",1,"100,0%",3
Albanien,8,8,0,0,0,0,7,"87,5%",1,"12,5%",1
Serbien,2,4,0,0,0,0,0,"0,0%",4,"100,0%",3
Nordmazedonien,1,1,0,0,0,0,1,"100,0%",0,"0,0%",0
Ghana,0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
"Bosnien und Herzegowina",0,0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
Senegal,1,0,0,0,0,0,0,"0,0%",0,"0,0%",1
Montenegro,0,0,0,0,0,0,0,"0,0%",0,"0,0%",0
