Herkunftsland, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen absolut, sonst. Verfahrenserledigungen (z.B. Ruecknahmen) absolut
Syrien,23,8854,63,1024,16075,8815
Irak,4,640,477,601,7587,6865
Afghanistan,4,1659,1407,8191,8274,8715
Nigeria,5,57,11,237,2935,4777
Iran,50,1211,18,76,1651,2873
Russische Föderation,7,138,35,156,2113,4688
Türkei,10,110,13,22,859,1808
Somalia,0,120,218,198,543,2664
Pakistan,1,560,38,71,4157,3080
Georgien,0,3,6,18,1249,1788
Gambia,0,9,1,13,1058,1900
Guinea,1,24,1,17,601,1642
Aserbaidschan,0,24,5,43,948,1736
Armenien,0,3,21,132,1563,2005
Eritrea,5,202,70,62,673,1954
Marokko,0,16,1,17,373,590
Tunesien,0,11,0,0,112,260
Algerien,0,5,0,11,334,658
Albanien,0,3,7,83,699,1662
Serbien,0,0,0,34,544,1450
Nordmazedonien,0,2,0,37,529,1187
Kosovo,0,2,6,75,489,1084
Ghana,0,3,0,13,467,644
Bosnien und Herzegowina,0,0,3,24,178,340
Senegal,1,0,1,14,165,207
Montenegro,0,0,0,3,86,190
