01.01. – 31.12 2018,Revisionen,Gerichtsentscheidungen,,,,,,,,,
,,,,,s,"nst. (z.","Ablehnungen erfahrenserledigu. Rücknahmen)",gen,,,
,,,,,,,absolut,Anteil,absolut,Anteil,
Staatsangehörigkeiten gesamt,39,16,-,1,-,-a,hängig3e,R1e8c.h8t%sm,ttel  12,"75,0%",49
darunter:,,,,,,,,,,,
Syrien,12,1,-,-,-,-,-,"0,0%",1,"100,0%",16
Eritrea,7,3,-,-,-,-,2,"66,7%",1,"33,3%",7
Afghanistan,5,2,-,-,-,-,1,"5,0%",1,"50,0%",4
sonst. asiat. Staatsangeh.,5,7,-,1,-,-,-,"0,0%",6,"85,7%",1
Mauretanien,3,1,-,-,-,-,-,"0,0%",1,"0,0%",2
Ungeklärt,3,2,-,-,-,-,-,"00,0%",2,"100,0%",1
Algerien,1,-,-,-,-,-,-,"0,0%",-,"0,0%",1
Somalia,1,-,-,-,-,-,-,"0,0%",-,"0,0%",1
Ägypten,1,-,-,-,-,-,-,"0,0%",-,"0,0%",1
Irak,1,-,-,-,-,-,-,"0,0%",-,"0,0%",1
Russische Föderation,-,-,-,-,-,-,-,"0,0%",-,"0,0%",1
Iran,-,-,-,-,-,-,-,"0,0%",-,"0,0%",4
Staatenlos,-,-,-,-,-,-,-,"0,0%",-,"0,0%",9
